customer_region,customer_age,vendor_count,product_count,chain_orders,first_order,last_order,last_promo,payment_method,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle Dishes,CUI_OTHER,CUI_Street Food / Snacks,CUI_Thai,DOW_0,DOW_1,DOW_2,DOW_3,DOW_4,DOW_5,DOW_6,HR_1,HR_2,HR_3,HR_4,HR_5,HR_6,HR_7,HR_8,HR_9,HR_10,HR_11,HR_12,HR_13,HR_14,HR_15,HR_16,HR_17,HR_18,HR_19,HR_20,HR_21,HR_22,HR_23,total_cui_spending,total_orders,generation,health_index,weekend_orders,weekday_orders,orders_dawn,orders_morning,orders_afternoon,orders_evening,order_recency,avg_daily_orders,avg_order_value,promo_used,chain_orders_prop,city,cui_asian_spending,cui_western_spending,cui_other_spending,main_dishes_spending,snacks_beverages_spending,prop_cui_american,prop_cui_asian,prop_cui_beverages,prop_cui_cafe,prop_cui_chicken dishes,prop_cui_chinese,prop_cui_desserts,prop_cui_healthy,prop_cui_indian,prop_cui_italian,prop_cui_japanese,prop_cui_noodle dishes,prop_cui_other,prop_cui_street food / snacks,prop_cui_thai
4660,34,4,95,8,0,71,NOPROMO,CARD,0.0,896.71,0.0,9.08,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,8,9,9,8,10,4,6,0,0,0,0,0,0,1,0,0,0,3,13,11,6,7,10,3,0,0,0,0,0,0,907.8600000000001,54,Millennials,0.0,14,40,0,4,50,0,0.7888888888888889,0.6,16.812222222222225,0,0.14814814814814814,4,896.71,2.07,0.0,898.7800000000001,9.08,0.0,0.9877183706738923,0.0,0.010001542087987134,0.0,0.0,0.0,0.0,0.0,0.0022800872381204145,0.0,0.0,0.0,0.0,0.0
2360,31,2,79,0,0,87,DISCOUNT,DIGI,0.0,0.0,0.0,0.0,0.0,435.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,8,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,6,1,0,435.64,47,Millennials,0.0,14,33,0,0,0,47,0.9666666666666667,0.5222222222222223,9.268936170212765,1,0.0,2,435.64,0.0,0.0,435.64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8670,32,11,37,32,0,88,DISCOUNT,DIGI,37.49,42.43,156.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.16,0.0,0.0,11.95,0.0,6,6,2,7,4,2,8,1,12,6,4,2,4,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,274.26,35,Millennials,0.0,14,21,25,6,3,0,0.9777777777777777,0.3888888888888889,7.835999999999999,1,0.9142857142857143,8,68.59,37.49,0.0,106.08000000000001,168.17999999999998,0.13669510683293226,0.15470721213447094,0.5696419455990666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09538394224458543,0.0,0.0,0.043571793188944795,0.0
2360,20,41,110,73,0,88,DELIVERY,DIGI,33.25,0.0,46.6,4.74,12.06,6.08,10.19,13.97,0.0,1.25,15.35,5.55,202.54,1.3,9.89,6,15,15,11,8,13,14,1,0,1,1,0,0,0,1,3,4,0,0,1,5,16,22,8,6,4,4,1,1,3,362.77,82,Gen_Z,0.03850924828403672,20,62,3,8,52,19,0.9777777777777777,0.9111111111111111,4.424024390243902,1,0.8902439024390244,2,31.32,34.5,220.15,285.97,62.83,0.09165587011053836,0.0,0.1284560465308598,0.013066130054855695,0.033244204316784744,0.016759930534498445,0.02808942305041762,0.03850924828403672,0.0,0.003445709402651818,0.042313311464564324,0.015298949747774073,0.5583151859304794,0.003583537778757891,0.027262452793781186
4660,41,18,117,26,0,88,NOPROMO,CARD,104.95,14.44,0.0,21.7,0.0,0.0,0.0,7.71,28.13,109.05,0.0,0.0,243.18,0.0,59.2,11,13,14,17,11,12,12,0,0,0,0,0,0,0,0,1,4,21,9,4,1,1,6,9,24,10,0,0,0,0,588.3600000000001,90,Millennials,0.013104221904956146,23,67,0,26,30,34,0.9777777777777777,1.0,6.5373333333333346,0,0.28888888888888886,4,101.77,214.0,243.18,558.95,21.7,0.17837718403698413,0.02454279692705146,0.0,0.03688218097763273,0.0,0.0,0.0,0.013104221904956146,0.04781086409681146,0.1853457067101774,0.0,0.0,0.413318376504181,0.0,0.10061866884220544
2360,23,40,269,81,0,88,NOPROMO,CARD,19.08,70.01,37.92,18.3,0.0,739.73,0.0,0.0,0.0,20.11,84.05,197.84,109.31,12.34,109.64,15,17,14,10,9,9,20,0,0,0,0,0,0,0,0,1,3,9,12,3,4,3,8,14,7,15,9,2,2,2,1418.33,94,Gen_Z,0.0,35,59,0,13,44,37,0.9777777777777777,1.0444444444444445,15.088617021276596,0,0.8617021276595744,2,1003.43,39.19,307.15,1349.7699999999998,68.56,0.013452440546276255,0.04936086806314469,0.026735668003920104,0.012902498008220938,0.0,0.5215499918918729,0.0,0.0,0.0,0.014178646718323662,0.05925983374814042,0.13948798939597978,0.07706951132670113,0.008700372973849528,0.07730217932357068
8670,38,9,57,31,0,89,NOPROMO,CARD,17.61,537.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69,0.0,0.0,0.0,0.0,3,4,4,7,7,5,7,0,0,7,14,4,0,0,0,0,1,4,4,2,0,1,0,0,0,0,0,0,0,0,621.79,37,Millennials,0.0,10,27,25,5,7,0,0.9888888888888889,0.4111111111111111,16.805135135135135,0,0.8378378378378378,8,604.1800000000001,17.61,0.0,621.7900000000001,0.0,0.028321459013493304,0.8644236800205858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10725486096592098,0.0,0.0,0.0,0.0
2360,25,14,81,33,0,89,NOPROMO,CARD,27.88,1.96,30.22,0.0,0.0,12.47,0.0,0.0,0.0,8.63,0.0,275.11,32.05,0.0,0.0,10,8,3,3,5,4,4,0,0,0,0,0,0,0,0,1,2,13,1,5,1,0,0,0,0,2,3,6,3,0,388.32,37,Gen_Z,0.0,14,23,0,16,7,14,0.9888888888888889,0.4111111111111111,10.495135135135135,0,0.8918918918918919,2,14.43,36.51,307.16,358.1,30.22,0.07179645653069633,0.0050473836011536875,0.07782241450350226,0.0,0.0,0.032112690564482904,0.0,0.0,0.0,0.022223939019365473,0.0,0.7084620931190772,0.08253502266172229,0.0,0.0
2360,21,14,91,67,0,89,NOPROMO,CARD,4.01,0.0,118.11,14.53,0.0,0.0,0.0,0.0,8.32,0.0,0.0,0.0,12.74,96.8,7.8,11,16,0,4,14,12,13,0,0,0,0,0,0,0,29,4,1,16,5,2,0,0,1,4,6,1,1,0,0,0,262.31,70,Gen_Z,0.0,24,46,0,50,12,8,0.9888888888888889,0.7777777777777778,3.7472857142857143,0,0.9571428571428572,2,16.12,4.01,12.74,32.870000000000005,229.44,0.015287255537341313,0.0,0.4502687659639358,0.055392474553009795,0.0,0.0,0.0,0.0,0.03171819602760093,0.0,0.0,0.0,0.048568487667263925,0.36902901147497236,0.02973580877587587
2440,25,18,72,26,0,89,NOPROMO,CARD,0.0,37.17,0.0,19.83,8.44,19.72,0.0,0.0,0.0,0.0,4.39,19.78,79.67,0.0,0.0,6,3,7,10,12,9,13,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,7,35,7,1,1,1,189.0,60,Gen_Z,0.0,19,41,0,1,7,52,0.9888888888888889,0.6666666666666666,3.15,0,0.43333333333333335,2,61.28,0.0,107.89,169.17,19.83,0.0,0.19666666666666668,0.0,0.10492063492063491,0.04465608465608465,0.10433862433862433,0.0,0.0,0.0,0.0,0.023227513227513225,0.10465608465608466,0.42153439153439154,0.0,0.0
8670,23,6,29,6,1,88,DELIVERY,CARD,231.75,11.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,3,6,2,4,3,2,4,9,8,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.92,24,Gen_Z,0.0,7,17,23,1,0,0,0.9777777777777777,0.26666666666666666,10.413333333333332,1,0.25,8,11.92,231.75,0.0,243.67,6.25,0.9272967349551857,0.04769526248399488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025008002560819465,0.0
2360,28,27,109,83,1,89,NOPROMO,CARD,2.57,28.41,229.22,2.86,0.0,2.84,10.34,58.29,10.43,2.27,0.0,0.0,79.47,7.44,0.0,16,17,10,17,15,8,8,0,0,0,0,0,0,2,2,2,8,13,17,12,6,7,3,3,6,8,2,0,0,0,434.13999999999993,91,Millennials,0.13426544432671492,24,67,0,27,48,16,0.9888888888888889,1.011111111111111,4.77076923076923,0,0.9120879120879121,2,41.68,4.84,79.47,125.99000000000001,249.86,0.005919749389597826,0.06543971990602111,0.5279863638457641,0.006587736674805363,0.0,0.00654166858617036,0.023817201824296315,0.13426544432671492,0.024024508223153825,0.005228728060072788,0.0,0.0,0.1830515501911826,0.017137328972220946,0.0
8670,68,9,42,4,2,83,NOPROMO,CASH,54.35,30.86,0.0,0.0,0.0,0.0,18.23,0.0,0.0,0.0,53.6,0.0,0.0,382.39,0.0,2,3,1,2,3,2,4,0,0,0,1,0,2,0,0,0,0,1,1,3,8,1,0,0,0,0,0,0,0,0,539.4300000000001,17,Baby_Boomers,0.0,6,11,1,3,13,0,0.9222222222222223,0.18888888888888888,31.731176470588238,0,0.23529411764705882,8,84.46000000000001,54.35,0.0,138.81,400.62,0.10075450012049755,0.057208534935024,0.0,0.0,0.0,0.0,0.033794931687151246,0.0,0.0,0.0,0.09936414363309418,0.0,0.0,0.7088778896242329,0.0
2360,28,7,31,29,2,89,DELIVERY,CARD,0.0,0.0,21.01,1.85,0.0,0.0,2.8,57.2,0.0,0.0,1.58,0.0,0.0,0.0,0.0,3,6,5,3,3,5,5,5,10,2,5,1,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,84.44000000000001,30,Millennials,0.6774040738986262,8,22,23,0,4,2,0.9888888888888889,0.3333333333333333,2.814666666666667,1,0.9666666666666667,2,1.58,0.0,0.0,1.58,25.660000000000004,0.0,0.0,0.24881572714353387,0.0219090478446234,0.0,0.0,0.033159639981051627,0.6774040738986262,0.0,0.0,0.01871151113216485,0.0,0.0,0.0,0.0
4660,35,29,94,32,3,89,NOPROMO,CARD,127.01,5.65,0.0,20.48,0.0,39.77,0.0,2.94,41.95,79.09,36.06,0.0,91.94,0.0,17.57,11,13,14,16,9,13,6,0,0,0,0,0,0,0,4,8,25,2,1,0,2,2,8,18,5,4,2,1,0,0,462.46,82,Millennials,0.006357306577866194,17,65,0,39,31,12,0.9888888888888889,0.9111111111111111,5.6397560975609755,0,0.3902439024390244,4,141.0,206.10000000000002,91.94,439.04,20.48,0.2746399688621719,0.012217272845219047,0.0,0.04428491112744886,0.0,0.08599662673528523,0.0,0.006357306577866194,0.09071054793928124,0.17102019634130522,0.0779743112917874,0.0,0.198806383254768,0.0,0.037992475024867016
4660,27,1,42,0,4,88,NOPROMO,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.61,0.0,0.0,0.0,0.0,0.0,1,0,1,10,3,7,3,0,0,0,0,0,0,0,0,0,4,9,9,2,1,0,0,0,0,0,0,0,0,0,345.61,25,Millennials,0.0,4,21,0,13,12,0,0.9777777777777777,0.2777777777777778,13.8244,0,0.0,4,0.0,345.61,0.0,345.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4660,29,7,65,16,5,87,NOPROMO,CARD,0.0,0.0,0.0,21.09,0.0,0.0,0.0,22.55,0.0,0.0,706.14,0.0,14.14,0.0,0.0,3,2,4,2,8,8,4,0,0,0,0,0,0,0,1,1,0,1,2,2,3,18,3,0,0,0,0,0,0,0,763.92,31,Millennials,0.02951879777987224,7,24,0,3,28,0,0.9666666666666667,0.34444444444444444,24.64258064516129,0,0.5161290322580645,4,706.14,0.0,14.14,720.28,21.09,0.0,0.0,0.0,0.027607602890355014,0.0,0.0,0.0,0.02951879777987224,0.0,0.0,0.924363807728558,0.0,0.018509791601214787,0.0,0.0
4660,26,10,68,43,7,89,NOPROMO,DIGI,10.56,0.0,0.0,87.46,0.0,0.0,0.0,0.0,0.0,22.13,0.0,0.0,366.08,0.0,120.61,7,3,6,9,14,6,8,0,0,0,0,0,0,0,0,11,13,5,1,1,1,6,7,7,1,0,0,0,0,0,606.8399999999999,53,Millennials,0.0,15,38,0,29,23,1,0.9888888888888889,0.5888888888888889,11.449811320754716,0,0.8113207547169812,4,120.61,32.69,366.08,519.38,87.46,0.017401621514732058,0.0,0.0,0.14412365697712742,0.0,0.0,0.0,0.0,0.0,0.03646760266297542,0.0,0.0,0.6032562125107113,0.0,0.19875090633445391
8670,25,14,47,4,8,89,FREEBIE,DIGI,0.0,79.5,47.12,0.0,0.0,18.2,18.13,0.0,0.0,0.0,0.0,0.0,0.0,454.45,0.0,3,2,3,3,4,2,2,0,1,0,0,1,2,0,1,0,1,0,0,1,4,1,1,0,1,0,0,0,1,2,617.4,19,Gen_Z,0.0,5,14,2,4,7,4,0.9888888888888889,0.2111111111111111,32.49473684210526,1,0.21052631578947367,8,97.7,0.0,0.0,97.7,519.7,0.0,0.12876579203109817,0.0763200518302559,0.0,0.0,0.02947845804988662,0.029365079365079365,0.0,0.0,0.0,0.0,0.0,0.0,0.73607061872368,0.0
8670,25,1,6,0,28,28,NOPROMO,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.32,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104.32,1,Gen_Z,0.0,1,0,0,1,0,0,0.3111111111111111,0.011111111111111112,104.32,0,0.0,8,0.0,0.0,0.0,0.0,104.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4140,29,1,70,0,28,88,DISCOUNT,DIGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.33,0.0,0.0,0.0,0.0,0.0,3,2,6,3,4,3,6,0,0,0,0,0,0,0,1,2,2,1,2,3,1,4,4,4,3,0,0,0,0,0,468.33,27,Millennials,0.0,9,18,0,6,18,3,0.9777777777777777,0.3,17.345555555555556,1,0.0,4,0.0,468.33,0.0,468.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
